"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","Rost%"
"Tommy Henry","ARI","RP","6.5","6","0","0","5.56","1.62","4","8","3","1","2","2","1","0","0%"
"Jimmy Herget","COL","SP,RP","74.5","68","3","2","4.46","1.33","37","75","24","11","68","0","4","0","0%"
"Shelby Miller","CHC","RP","0.5","1","0","0","0.00","0.98","0","1","0","0","1","0","0","0","0%"
"Hagen Smith","CWS","SP","18.4","19","1","0","4.58","1.48","9","16","12","2","4","4","1","0","1%"
"Greg Weissert","BOS","RP","64.2","57","4","1","4.17","1.31","30","61","23","8","65","0","3","0","0%"
"Brant Hurter","DET","SP,RP","53.7","48","3","0","3.73","1.24","22","50","17","5","45","0","3","0","2%"
"Jonathan Loaisiga","ARI","RP","51.2","42","3","2","3.95","1.31","22","51","16","5","51","0","2","0","0%"
"Juan Mejia","COL","RP","64.3","67","3","3","4.48","1.41","32","61","30","8","63","0","4","0","1%"
"Pierce Johnson","CIN","RP","60.0","66","3","1","4.25","1.32","28","55","24","9","61","0","3","0","1%"
"Dane Dunning","SEA","SP,RP","16.5","14","1","0","4.36","1.31","8","16","6","2","8","2","1","0","0%"
"Cade Povich","BAL","SP","25.6","25","1","0","4.22","1.31","12","25","9","4","12","3","1","0","1%"
"Jose Leclerc","SD","RP","30.7","34","2","0","4.19","1.33","14","26","14","4","30","0","1","0","0%"
"Jordan Wicks","CHC","SP,RP","29.7","27","1","0","4.09","1.31","14","29","10","4","19","2","2","0","0%"
"Paul Blackburn","NYY","SP,RP","59.4","50","3","0","4.44","1.31","29","59","19","8","45","3","3","0","0%"
"Matt Festa","CLE","RP","59.0","58","3","0","4.05","1.27","27","53","22","7","60","0","3","0","1%"
"Kendall Graveman","","RP","27.5","23","2","0","4.78","1.47","15","27","14","4","29","0","1","0","0%"
"George Klassen","LAA","SP","41.9","40","2","0","4.62","1.42","22","40","19","6","18","5","3","0","0%"
"Hector Neris","","RP","21.5","23","1","0","4.52","1.37","11","19","10","3","22","0","2","0","0%"
"Vince Velasquez","CHC","SP,RP","8.7","9","0","0","4.58","1.45","4","8","5","1","8","0","0","0","0%"
"Colin Holderman","CLE","RP","42.0","40","2","0","4.20","1.36","20","39","18","5","42","0","2","0","0%"
"Trevor Williams","WSH","SP","28.5","23","1","0","4.61","1.38","15","31","9","4","19","2","2","0","0%"
"Javier Assad","CHC","SP,RP","65.6","53","3","0","4.19","1.34","31","63","25","8","40","4","3","0","1%"
"Brendon Little","TOR","RP","53.6","58","3","0","3.55","1.36","21","45","28","4","56","0","2","0","0%"
"Josh White","MIA","RP","42.7","45","3","0","3.95","1.29","19","38","17","5","41","0","2","0","0%"
"Ben Casparius","LAD","SP,RP","57.5","54","3","0","4.42","1.32","28","54","22","8","49","0","3","0","0%"
"Tommy Nance","TOR","RP","55.0","53","3","0","3.79","1.26","23","52","17","6","53","0","2","0","0%"
"Erick Fedde","CWS","SP,RP","109.8","80","5","0","4.97","1.43","61","114","43","17","24","19","8","0","2%"
"John Schreiber","KC","RP","62.5","58","3","1","4.12","1.30","29","58","23","8","66","0","3","0","0%"
"Walbert Urena","LAA","SP","37.4","28","2","0","4.90","1.57","20","39","19","5","33","1","2","0","7%"
"Hoby Milner","CHC","RP","61.3","52","3","0","3.84","1.27","26","60","18","6","62","0","3","0","0%"
"Hunter Dobbins","STL","SP","82.9","62","4","0","4.43","1.36","41","85","28","10","25","13","5","0","0%"
"AJ Blubaugh","HOU","SP,RP","41.7","37","2","0","4.51","1.37","21","39","18","6","29","3","2","0","1%"
"Mason Englert","TB","RP","59.8","56","3","0","4.08","1.25","27","57","18","8","53","0","3","0","0%"
"Tomoyuki Sugano","COL","SP","118.7","76","5","0","5.21","1.43","69","140","30","21","22","22","9","1","4%"
