"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","Rost%"
"Jose Espada","BAL","RP","15.8","17","1","0","4.48","1.36","8","14","8","2","14","0","1","0","0%"
"Trent Harris","SF","RP","7.5","7","0","0","4.44","1.31","4","7","3","1","8","0","0","0","0%"
"A.J. Causey","ATH","RP","12.1","10","1","0","4.40","1.38","6","12","5","2","12","0","1","0","0%"
"Daniel Robert","PHI","RP","9.1","10","0","0","4.27","1.28","4","8","4","1","10","0","0","0","0%"
"Marc Church","TEX","RP","26.0","25","1","0","4.98","1.59","14","25","16","3","26","0","2","0","0%"
"Riley Gowens","CWS","SP","11.8","11","1","0","4.72","1.34","6","12","4","2","12","0","1","0","0%"
"Jayden Murray","HOU","RP","26.1","22","1","0","4.49","1.40","13","25","11","4","25","0","1","0","0%"
"Packy Naughton","STL","SP,RP","14.0","13","1","0","4.27","1.35","7","14","5","2","14","0","1","0","0%"
"Jake Bloss","TOR","SP","16.0","13","1","0","4.62","1.41","8","16","7","2","14","0","1","0","0%"
"Eli Morgan","KC","RP","32.0","27","2","0","4.68","1.36","17","31","12","5","30","0","2","0","0%"
"Wilber Dotel","PIT","SP","13.4","11","1","0","4.65","1.40","7","13","5","2","12","0","1","0","0%"
"Sauryn Lao","","RP","7.2","6","0","0","3.94","1.29","3","7","3","1","5","0","0","0","0%"
"Collin Snider","CHC","RP","11.9","10","1","0","4.54","1.37","6","12","4","2","12","0","1","0","0%"
"Winston Santos","TEX","SP","16.6","20","1","0","4.33","1.38","8","15","8","3","4","4","1","0","0%"
"Francis Pena","SD","RP","9.0","7","1","0","4.44","1.48","4","9","4","1","9","0","1","0","0%"
"Welinton Herrera","COL","RP","24.0","24","1","0","4.45","1.43","12","24","11","3","24","0","2","0","0%"
"Yilber Diaz","ARI","RP","19.9","19","1","0","4.71","1.50","10","19","11","3","17","0","1","0","0%"
"Prelander Berroa","CWS","RP","29.2","30","1","0","4.59","1.50","15","26","17","4","28","0","2","0","0%"
"Alan Rangel","PHI","SP,RP","23.0","19","1","0","4.74","1.36","12","23","8","4","14","2","1","0","0%"
"Jose Franco","CIN","SP,RP","14.6","14","1","0","4.77","1.40","8","14","6","2","14","0","1","0","0%"
"Easton Lucas","","SP,RP","22.9","22","1","0","4.32","1.40","11","21","11","3","12","1","2","0","1%"
"Henry Baez","ATH","SP","13.1","10","1","0","4.32","1.41","6","13","5","1","11","0","0","0","0%"
"Kyle Wright","CHC","SP","14.7","13","1","0","4.64","1.40","8","14","6","2","6","1","1","0","0%"
"Julian Merryweather","MIN","RP","13.5","14","1","0","4.24","1.39","6","12","7","2","13","0","1","0","0%"
"Mitch Spence","KC","SP,RP","30.0","24","1","0","4.54","1.36","15","32","9","4","25","1","2","0","0%"
"Carlos Hernandez","CLE","RP","22.6","23","1","0","4.39","1.36","11","21","10","3","22","0","1","0","0%"
"Gavin Hollowell","CHC","RP","23.0","23","1","0","4.43","1.40","11","21","12","3","22","0","1","0","0%"
"Tyler Uberstine","BOS","SP","11.8","10","1","0","4.63","1.38","6","12","4","2","4","2","1","0","0%"
"Jack Neely","CHC","RP","17.0","18","1","0","4.59","1.45","9","15","9","2","17","0","1","0","0%"
"Chris Devenski","PIT","RP","19.4","16","1","0","4.56","1.32","10","19","6","3","18","0","1","0","0%"
"Jeff Criswell","COL","RP","12.6","12","1","0","4.77","1.47","7","13","6","2","12","0","1","0","0%"
"Christian Roa","CHC","RP","33.1","31","2","0","4.43","1.44","16","30","17","4","32","0","2","0","0%"
"Joey Estes","ATH","SP","28.6","21","1","0","4.90","1.29","16","29","8","5","23","1","2","0","0%"
"Tom Cosgrove","HOU","RP","13.2","12","1","0","4.46","1.40","7","12","7","2","13","0","1","0","0%"
"Robert Stock","NYM","SP,RP","19.0","21","1","0","4.27","1.45","9","17","11","3","13","1","1","0","0%"
"Kevin Herget","NYM","RP","9.2","8","1","0","4.40","1.23","4","9","3","2","5","0","0","0","0%"
"Randy Dobnak","SEA","RP","12.1","9","1","0","4.48","1.42","6","12","5","1","9","0","1","0","0%"
"Tyler Mattison","DET","RP","12.8","12","1","0","4.80","1.57","7","12","8","2","13","0","1","0","0%"
"Jake Miller","CLE","SP","9.6","7","1","0","4.56","1.41","5","10","4","1","9","0","1","0","0%"
"Jake Woodford","MIL","RP","19.2","15","1","0","5.17","1.54","11","21","9","3","11","1","1","0","0%"
"Chen Zhong-Ao Zhuang","ATH","SP","7.7","6","0","0","4.64","1.28","4","8","2","1","8","0","0","0","0%"
"Orlando Ribalta","WSH","RP","46.6","44","2","0","4.84","1.48","25","45","24","7","46","0","2","0","0%"
"Juan Burgos","ARI","RP","23.7","20","1","0","4.49","1.43","12","23","10","3","24","0","1","0","0%"
"Seth Martinez","BOS","RP","14.6","12","1","0","4.56","1.37","7","14","6","2","14","0","1","0","0%"
"Dax Fulton","MIA","SP","22.4","19","1","0","4.42","1.45","11","22","11","2","18","1","1","0","0%"
"Bryan Hoeing","SD","RP","6.1","5","0","0","4.50","1.36","3","6","2","1","5","0","0","0","0%"
"Isaiah Campbell","ARI","RP","14.1","10","1","0","4.69","1.41","7","15","5","2","13","0","1","0","0%"
"Daison Acosta","SD","RP","12.6","14","1","0","4.17","1.38","6","11","7","2","12","0","0","0","0%"
"Corbin Martin","CHC","RP","9.8","9","1","0","4.60","1.45","5","9","5","1","10","0","1","0","0%"
"Adam Macko","TOR","SP,RP","14.1","13","1","0","4.53","1.40","7","13","6","2","12","1","1","0","0%"
"Austin Love","STL","SP","21.7","18","1","0","4.68","1.44","11","21","10","3","21","0","1","0","0%"
"Julian Aguiar","CIN","SP","31.6","23","1","0","4.86","1.36","17","33","10","5","24","2","2","0","0%"
"Joe Ross","ARI","RP","27.5","22","1","0","4.50","1.40","14","28","10","3","25","1","1","0","0%"
"Kyle Keller","BOS","RP","19.8","19","1","0","4.96","1.46","11","19","10","3","19","0","1","0","0%"
"Lou Trivino","PHI","RP","22.8","20","1","0","4.58","1.40","12","22","10","3","23","0","1","0","0%"
"Dom Hamel","NYY","SP,RP","23.3","21","1","0","4.73","1.44","12","23","11","4","21","0","1","0","0%"
"Carson Fulmer","PIT","SP,RP","17.8","15","1","0","4.31","1.46","9","18","8","2","10","1","1","0","0%"
"Ryan Loutos","SEA","RP","19.7","17","1","0","4.48","1.42","10","19","9","3","20","0","1","0","0%"
"Ixan Henderson","STL","SP","15.0","13","1","0","3.89","1.36","7","13","8","1","12","1","1","0","0%"
"Alex Faedo","","SP,RP","11.8","12","1","0","4.20","1.27","6","11","5","2","8","1","1","0","0%"
"Jhonathan Diaz","SEA","RP","6.9","5","0","0","4.49","1.34","3","7","2","1","5","1","0","0","0%"
"Tucker Davidson","PHI","RP","7.3","6","0","0","4.45","1.38","4","7","3","1","7","0","0","0","0%"
"Jake Eder","LAD","RP","19.3","16","1","0","4.84","1.42","10","20","8","3","17","0","1","0","0%"
"Eric Cerantola","KC","RP","14.6","15","1","0","4.47","1.46","7","13","8","2","14","0","1","0","0%"
"K.C. Hunt","TB","SP","6.2","5","0","0","4.30","1.31","3","6","2","1","6","0","0","0","0%"
"Jose Urena","","SP,RP","37.7","25","2","0","5.01","1.54","21","41","17","7","12","5","3","0","0%"
"Zach Franklin","CWS","RP","9.5","10","0","0","4.22","1.34","4","9","4","1","9","0","1","0","0%"
"Josh Staumont","CIN","RP","11.3","11","1","0","4.74","1.46","6","10","6","1","11","0","1","0","0%"
"Alex Hoppe","SEA","RP","17.9","17","1","0","4.32","1.45","9","17","9","2","18","0","1","0","0%"
"Josh Fleming","TOR","RP","14.9","8","1","0","4.46","1.43","7","16","5","2","9","0","1","0","0%"
"Jayvien Sandridge","BAL","RP","19.2","22","1","0","4.62","1.53","10","17","12","3","20","0","1","0","0%"
"Sam Benschoter","CIN","RP","14.6","11","1","0","4.74","1.41","8","15","5","2","13","0","1","0","0%"
"Ben Bowden","ATH","RP","12.6","13","1","0","4.66","1.51","7","11","8","2","14","0","1","0","0%"
"Andrew Sears","DET","SP","6.0","5","0","0","4.36","1.37","3","6","2","1","6","0","0","0","0%"
"Scott McGough","","RP","22.1","21","1","0","5.07","1.45","12","22","10","4","19","0","1","0","0%"
"Scott Blewett","STL","RP","22.5","17","1","0","4.82","1.43","12","24","9","3","20","0","1","0","0%"
"Genesis Cabrera","PHI","RP","21.7","20","1","0","4.62","1.40","11","21","10","3","21","0","1","0","0%"
"Nabil Crismatt","TEX","SP,RP","20.5","16","1","0","5.05","1.44","12","23","7","5","11","1","1","0","3%"
"Doug Nikhazy","CHC","SP,RP","28.5","25","1","0","4.74","1.48","15","28","14","4","20","2","2","0","0%"
"Caleb Boushley","","RP","25.9","19","2","0","4.52","1.39","13","28","9","4","15","1","1","0","0%"
"Mitch Farris","LAA","SP,RP","20.2","19","1","0","4.99","1.49","11","20","10","3","4","4","2","0","0%"
"Tyler Schweitzer","CWS","SP,RP","13.8","10","1","0","4.73","1.43","7","15","5","2","14","0","1","0","0%"
"Enoli Paredes","BAL","RP","9.6","11","1","0","3.75","1.35","4","8","6","1","8","0","1","0","0%"
"Tanner Houck","BOS","SP","16.1","13","1","0","4.40","1.35","8","16","6","2","7","1","1","0","0%"
"Guillo Zuniga","","RP","7.3","6","0","0","4.47","1.39","4","7","3","1","7","0","0","0","0%"
"Tanner Rainey","DET","RP","12.2","12","0","0","4.50","1.42","6","11","7","2","12","0","0","0","0%"
"Sam Aldegheri","LAA","SP","27.2","20","1","0","5.32","1.55","16","29","13","4","7","4","2","0","0%"
"Thomas Harrington","PIT","SP,RP","22.4","17","1","0","4.72","1.38","12","23","7","3","10","3","2","0","0%"
"Shinnosuke Ogasawara","WSH","SP,RP","12.6","9","1","0","4.43","1.35","6","13","4","2","10","0","1","0","0%"
"Dillon Tate","","RP","13.0","12","1","0","4.15","1.34","6","12","6","1","13","0","1","0","0%"
"Trenton Denholm","CLE","RP","9.1","6","0","0","4.96","1.38","5","10","3","1","2","2","1","0","0%"
"William Kempner","MIA","RP","21.5","21","1","0","4.71","1.48","11","20","12","3","21","0","2","0","0%"
"Bryan Sammons","DET","RP","18.6","17","1","0","4.60","1.42","10","18","9","4","4","1","1","0","0%"
"Joe La Sorsa","PIT","RP","16.9","12","1","0","4.40","1.41","8","17","7","2","16","0","1","0","0%"
"Rolddy Munoz","ATL","RP","17.5","16","1","0","4.46","1.47","9","17","9","2","17","0","1","0","0%"
"Ryder Ryan","LAD","RP","9.3","7","1","0","4.71","1.44","5","10","4","1","9","0","1","0","0%"
"Marco Raya","MIN","SP,RP","23.4","21","1","0","4.72","1.48","12","23","11","3","23","0","1","0","0%"
"Josh Ekness","MIA","RP","16.7","15","1","0","4.50","1.42","8","16","8","2","16","0","1","0","0%"
"Landon Knack","LAD","SP","22.6","20","1","0","4.98","1.40","13","22","9","4","13","3","1","0","0%"
"Blake Walston","ARI","RP","10.0","9","1","0","4.96","1.49","6","10","5","1","5","1","1","0","0%"
"Michael Darrell-Hicks","PIT","RP","9.7","8","0","0","4.66","1.45","5","10","4","1","9","0","0","0","0%"
"T.J. McFarland","","RP","22.4","14","1","0","4.45","1.40","11","24","7","2","30","0","1","0","0%"
"Yovanny Cruz","NYY","SP,RP","13.8","13","1","0","4.91","1.49","8","13","8","2","14","0","1","0","0%"
"Logan Gillaspie","SD","RP","20.3","15","1","0","4.65","1.37","10","21","7","3","19","0","1","0","0%"
"Blas Castano","COL","SP,RP","11.6","9","0","0","4.44","1.38","6","12","4","1","10","0","1","0","0%"
"Cam Sanders","PIT","RP","31.3","31","1","0","4.67","1.51","16","29","19","4","30","0","2","0","0%"
"Tyson Miller","CWS","RP","18.5","15","1","0","4.98","1.48","10","18","9","3","18","0","1","0","0%"
"Zach Brzykcy","MIA","RP","16.0","16","1","0","4.90","1.55","9","16","9","2","16","0","1","0","0%"
"Dylan Coleman","NYY","RP","10.2","10","0","0","4.95","1.73","6","9","9","1","11","0","0","0","0%"
"Robinson Pina","","SP,RP","10.5","9","1","0","4.27","1.28","5","11","3","2","8","1","1","0","0%"
"Matt Bowman","MIN","RP","19.2","16","1","0","4.61","1.37","10","20","7","3","18","0","1","0","0%"
"Yunior Marte","CIN","RP","13.2","12","1","0","4.96","1.46","7","13","6","2","13","0","1","0","0%"
"Lyon Richardson","CIN","RP","22.3","18","1","0","4.73","1.53","12","22","12","2","18","0","1","0","0%"
"Ryan Rolison","CHC","RP","30.5","23","1","0","4.60","1.42","16","31","12","4","28","0","2","0","0%"
"Dan Altavilla","MIN","RP","36.5","30","1","0","4.75","1.47","19","35","18","5","36","0","2","0","0%"
"Bryse Wilson","PHI","SP,RP","22.5","16","1","0","4.98","1.43","12","25","7","4","12","2","1","0","0%"
"Vinny Nittoli","","RP","4.5","4","0","0","5.56","1.36","3","4","2","1","3","0","0","0","0%"
"Zach Penrod","WSH","RP","10.0","9","0","0","4.45","1.54","5","10","5","1","10","0","1","0","0%"
"Ben Lively","CLE","SP","7.5","6","0","0","4.82","1.34","4","8","3","2","2","2","1","0","1%"
"Chayce McDermott","LAD","SP,RP","15.7","16","1","0","4.72","1.48","8","15","9","2","12","1","1","0","0%"
"Alexander Alberto","TB","RP","7.3","6","0","0","5.14","1.51","4","8","3","1","7","0","0","0","0%"
"Seth Johnson","PHI","SP,RP","20.5","18","1","0","4.74","1.48","11","20","10","3","18","0","1","0","0%"
"Brian Van Belle","TB","SP,RP","11.6","9","1","0","4.26","1.33","6","13","3","2","5","1","1","0","0%"
"John Curtiss","ARI","RP","22.1","17","1","0","4.89","1.38","12","23","8","4","18","0","2","0","0%"
"Matt Waldron","SD","SP","16.0","13","1","0","4.92","1.39","9","17","5","3","4","2","1","0","0%"
"Zack Thompson","STL","RP","13.6","13","1","0","4.50","1.45","7","13","7","2","10","1","1","0","0%"
"Jaden Woods","PIT","RP","5.2","4","0","0","5.19","1.45","3","5","3","1","5","0","0","0","0%"
"Dale Stanavich","","RP","3.6","3","0","0","5.01","1.61","2","4","2","0","3","0","0","0","0%"
"Pete Hansen","STL","SP","8.6","6","0","0","4.81","1.45","5","10","3","1","2","2","1","0","0%"
"Dugan Darnell","DET","RP","11.7","12","1","0","4.24","1.41","6","10","7","1","8","0","1","0","0%"
"Robby Ahlstrom","TEX","RP","7.7","7","0","0","4.60","1.47","4","8","4","1","8","0","0","0","0%"
"Luis Guerrero","TB","RP","21.8","20","1","0","4.91","1.50","12","20","13","3","20","0","1","0","0%"
"Jack Little","DET","RP","13.1","11","1","0","4.47","1.37","7","13","6","2","8","0","1","0","0%"
"Marco Gonzales","SD","SP","7.8","5","0","0","4.96","1.44","4","8","3","1","2","2","0","0","1%"
"Braden Nett","ATH","SP","26.3","22","1","0","4.84","1.51","14","27","13","3","14","3","2","0","0%"
"Jackson Kowar","BAL","RP","28.1","26","1","0","4.75","1.44","15","27","13","4","27","0","2","0","0%"
"Dylan Ray","ARI","SP","9.6","6","0","0","5.43","1.51","6","11","4","1","2","1","0","0","0%"
"Bryce Jarvis","ARI","RP","29.0","22","1","0","5.43","1.64","18","31","17","5","18","1","2","0","0%"
"Jose De Leon","","SP,RP","26.7","25","1","1","5.23","1.61","16","27","16","5","6","6","2","0","0%"
"Shaun Anderson","LAA","RP","13.6","9","1","0","5.08","1.42","8","15","4","2","13","0","1","0","0%"
"Eric Torres","BAL","RP","5.9","6","0","0","5.00","1.56","3","6","4","1","6","0","0","0","0%"
"Connor Seabold","DET","RP","22.5","18","1","0","4.83","1.38","12","23","8","4","21","0","1","0","0%"
"Sam Long","","RP","21.0","19","1","0","4.92","1.50","12","21","11","3","22","0","2","0","0%"
"Ben Kudrna","KC","SP","14.6","11","1","0","5.06","1.51","8","16","7","2","8","2","1","0","0%"
"Jairo Iriarte","CWS","RP","13.2","11","0","0","5.19","1.63","8","13","9","2","12","0","1","0","0%"
"Carson Spiers","CIN","SP,RP","6.9","6","0","0","5.10","1.51","4","8","3","1","2","1","0","0","0%"
"Freddy Tarnok","","SP,RP","11.1","11","1","0","4.87","1.49","6","10","7","2","7","1","1","0","0%"
"Jurrangelo Cijntje","STL","SP","9.1","7","1","0","4.47","1.43","5","9","4","2","2","2","1","0","1%"
"Yoniel Curet","DET","SP","10.2","9","0","0","4.95","1.53","6","10","6","1","5","2","1","0","0%"
"Victor Mederos","ATL","SP,RP","21.9","17","1","0","4.94","1.47","12","22","10","3","19","0","1","0","0%"
"Tejay Antone","CIN","RP","18.7","16","1","0","4.99","1.49","10","19","8","3","18","0","1","0","0%"
"Hunter Strickland","","RP","29.8","23","1","0","4.93","1.43","16","29","13","5","29","0","2","0","0%"
"Nate Lavender","NYM","RP","14.2","15","1","0","4.74","1.44","8","13","8","2","14","0","1","0","0%"
"Gavin Collyer","TEX","RP","21.3","21","1","0","4.94","1.48","12","20","12","3","21","0","1","0","0%"
"Joel Hurtado","LAA","SP","9.3","6","0","0","5.18","1.54","5","10","4","1","8","0","1","0","0%"
"Anthony Molina","ATL","RP","19.2","14","1","0","5.38","1.56","11","22","8","3","11","0","1","0","0%"
"McCade Brown","COL","SP","26.7","25","1","0","5.20","1.47","15","27","12","4","9","4","2","0","0%"
"Juan Sanchez","SF","RP","14.0","13","1","0","4.77","1.49","7","14","7","2","14","0","1","0","0%"
"Casey Lawrence","SEA","RP","8.3","4","0","0","5.32","1.44","5","10","2","1","2","2","1","0","0%"
"Carson Palmquist","COL","SP,RP","23.7","22","1","0","5.08","1.50","13","24","12","4","18","1","2","0","0%"
"Ky Bush","CWS","SP","13.5","10","1","0","4.85","1.49","7","13","7","2","5","2","1","0","0%"
"Carlos Carrasco","ATL","SP","11.7","9","0","0","5.31","1.49","7","13","4","2","2","2","1","0","0%"
"Riley Cornelio","WSH","SP","16.3","12","1","0","5.20","1.53","9","17","8","3","10","2","1","0","0%"
"Max Kranick","WSH","RP","6.3","5","1","0","4.29","1.27","3","6","2","1","4","0","0","0","0%"
"Jared Lyons","CIN","SP","7.9","6","0","0","5.35","1.48","5","8","3","1","2","2","1","0","0%"
"Jean Cabrera","PHI","SP","11.8","8","0","0","4.88","1.47","6","12","5","1","3","3","1","0","0%"
"Matt Krook","ATH","RP","8.1","9","1","0","4.46","1.61","4","7","7","1","9","0","1","0","0%"
"Tayler Scott","ATL","RP","15.9","16","1","0","5.11","1.53","9","15","9","2","15","0","1","0","0%"
"Thomas Hatch","ARI","SP,RP","15.5","12","1","0","5.02","1.46","9","17","6","2","7","0","1","0","0%"
"Elvin Rodriguez","","RP","10.1","8","1","0","4.90","1.43","6","11","4","2","3","3","1","0","0%"
"Lucas Sims","CWS","RP","30.8","30","1","0","5.32","1.55","18","28","20","5","32","0","2","0","0%"
"Enmanuel De Jesus","DET","SP,RP","32.7","27","1","0","4.66","1.44","17","33","14","4","31","0","1","0","0%"
"Austin Pope","","RP","8.6","9","1","0","4.72","1.57","5","9","5","1","5","0","1","0","0%"
"Gabriel Hughes","COL","SP","26.5","19","1","0","5.03","1.47","15","30","9","4","19","2","2","0","0%"
"Connor Thomas","MIL","RP","10.9","8","1","0","4.54","1.47","6","12","4","2","4","1","1","0","0%"
"Anthony Misiewicz","CIN","RP","9.1","8","1","0","5.45","1.38","6","9","4","2","10","0","1","0","0%"
"Bradley Blalock","MIA","SP","20.1","14","1","0","5.21","1.52","12","22","8","3","16","1","1","0","0%"
"Andry Lara","WSH","RP","19.5","14","1","0","4.87","1.51","11","21","9","3","13","0","1","0","0%"
"Valente Bellozo","COL","SP,RP","12.7","9","0","0","5.05","1.41","7","14","4","2","10","1","1","0","0%"
"Tyler Zuber","MIA","RP","14.9","15","1","0","5.27","1.50","9","14","8","2","12","0","1","0","0%"
"Austin Cox","","RP","13.8","13","1","0","5.22","1.56","8","15","7","3","10","0","1","0","0%"
"Carson Ragsdale","","SP,RP","12.4","11","1","0","5.08","1.61","7","13","8","2","5","1","1","0","0%"
"Anthony Maldonado","HOU","RP","12.6","13","1","0","5.35","1.59","8","13","8","2","11","0","1","0","0%"
"Anthony Veneziano","","RP","15.3","13","1","0","4.71","1.60","8","16","9","2","15","1","1","0","0%"
"Nick Hernandez","ATH","RP","8.3","9","0","0","5.04","1.41","5","8","4","1","7","0","0","0","0%"
"Darren McCaughan","CIN","SP,RP","10.1","8","1","0","5.36","1.44","6","11","4","3","4","1","1","0","0%"
"Antonio Senzatela","COL","SP,RP","84.7","52","3","0","5.45","1.57","51","104","29","13","45","6","6","0","11%"
"Logan VanWey","HOU","RP","11.7","11","0","0","5.20","1.67","7","11","8","2","10","0","0","0","0%"
"Luis Peralta","CHC","RP","32.1","31","1","0","5.30","1.61","19","33","18","5","33","0","2","0","0%"
"Beau Burrows","PIT","RP","13.3","11","1","0","5.08","1.58","8","13","8","2","14","0","1","0","0%"
"Tayron Guerrero","BOS","RP","28.5","23","1","0","5.05","1.52","16","30","13","4","28","0","1","0","0%"
"Davis Daniel","CIN","SP","18.3","14","1","0","5.42","1.53","11","20","8","4","6","2","2","0","0%"
"Omar Cruz","SD","RP","10.2","10","1","0","5.27","1.71","6","10","8","1","6","1","1","0","0%"
"Sean Reynolds","","RP","17.1","16","1","0","4.99","1.69","10","15","14","2","13","0","1","0","0%"
"Sem Robberse","STL","SP","12.3","9","1","0","5.14","1.63","7","14","7","2","10","1","1","0","0%"
"Jared Shuster","STL","RP","11.8","9","1","0","5.34","1.65","7","14","6","2","7","1","1","0","0%"
"Eduardo Salazar","MIN","RP","13.6","11","1","0","5.28","1.69","8","15","8","2","14","0","1","0","0%"
"Michael Mercado","PHI","RP","10.3","9","1","0","5.26","1.75","6","10","8","2","6","0","1","0","0%"
"Wilmer Flores","","SP","1.5","1","0","0","6.21","1.38","1","2","1","0","1","1","0","0","0%"
"Owen White","","SP,RP","11.8","8","1","0","5.32","1.69","7","13","8","2","6","1","1","0","0%"
"Bryce Montes de Oca","WSH","RP","7.5","8","0","0","4.22","1.43","4","6","4","1","8","0","0","0","0%"
"Nick Frasso","LAD","SP,RP","11.2","9","1","0","5.24","1.75","7","12","8","2","11","1","1","0","0%"
"Sean Sullivan","COL","SP","8.6","6","0","0","5.27","1.42","5","10","3","1","2","2","1","0","0%"
"Alec Marsh","KC","SP","2.3","2","0","0","3.90","1.52","1","3","1","1","1","1","0","0","0%"
"Nestor German","BAL","SP","2.2","2","0","0","4.04","1.35","1","2","1","1","1","1","0","0","0%"
"Levi Wells","BAL","SP","1.8","2","0","0","5.10","1.70","1","2","1","1","1","1","0","0","0%"
"Nathan Wiles","","RP","7.4","6","1","0","4.86","1.42","4","8","3","2","6","1","0","0","0%"
"Michael Arias","NYY","RP","12.5","13","1","0","5.77","2.04","8","12","14","2","11","0","1","0","0%"
"Logan Allen","CLE","SP","113.0","91","6","0","4.55","1.41","57","115","44","16","25","20","8","0","0%"
"Luis Garcia","NYY","SP","35.7","36","2","0","4.10","1.24","16","32","12","5","21","4","2","0","4%"
"Hagen Danner","CIN","C,RP","18.0","16","1","0","4.75","1.39","10","19","6","3","18","0","1","0","0%"
"Christian Montes De Oca","ARI","RP","11.2","9","1","0","4.83","1.39","6","11","5","2","5","0","1","0","0%"
"Adisyn Coffey","CWS","RP","8.0","7","0","0","4.48","1.42","4","8","4","1","8","0","1","0","0%"
"Collin Baumgartner","COL","RP","4.2","4","0","0","5.12","1.50","2","4","2","1","4","0","0","0","0%"
"Casey Kelly","","RP","8.7","4","1","0","5.69","1.84","6","11","5","2","5","1","0","0","0%"
""
""
