player_id,player_name,eligible_positions,adp,points
Luis_Gil_P,Luis Gil_P,SP,310.0,408.4
Chris_Bassitt_P,Chris Bassitt_P,SP,310.4,667.58
Colt_Keith_H,Colt Keith_H,1B;2B;3B;Util,310.4,567.4
Jeff_McNeil_H,Jeff McNeil_H,2B;OF,310.4,561.0
Nick_Castellanos_H,Nick Castellanos_H,OF;Util,310.4,358.6
Jameson_Taillon_P,Jameson Taillon_P,SP,311.4,518.7
J_P_Crawford_H,J.P. Crawford_H,SS,312.0,558.3
David_Peterson_P,David Peterson_P,SP;RP,313.0,711.6
Cam_Smith_H,Cam Smith_H,OF,313.3,488.2
Josh_Smith_H,Josh Smith_H,1B;2B;3B;SS;OF,317.0,502.9
Jeremiah_Estrada_P,Jeremiah Estrada_P,RP,317.6,375.24
Brooks_Lee_H,Brooks Lee_H,2B;3B;SS,318.2,505.4
Carson_Kelly_H,Carson Kelly_H,C,318.3,363.7
Kirby_Yates_P,Kirby Yates_P,RP,318.8,308.52
Mitch_Keller_P,Mitch Keller_P,SP,320.4,725.8
Michael_Wacha_P,Michael Wacha_P,SP,321.2,636.84
Will_Vest_P,Will Vest_P,RP,322.4,367.38
Nolan_Arenado_H,Nolan Arenado_H,3B,323.2,552.2
Nolan_Schanuel_H,Nolan Schanuel_H,1B,324.2,642.4
Josh_Jung_H,Josh Jung_H,3B,324.6,513.2
Tyler_Mahle_P,Tyler Mahle_P,SP,324.8,524.9
Dylan_Beavers_H,Dylan Beavers_H,OF;Util,325.3,437.4
Tommy_Edman_H,Tommy Edman_H,2B;3B;OF,326.8,425.7
Anthony_Volpe_H,Anthony Volpe_H,SS,327.2,456.5
Cedric_Mullins_II_H,Cedric Mullins II_H,OF,328.0,470.3
Reid_Detmers_P,Reid Detmers_P,SP;RP,329.0,610.16
Reynaldo_Lopez_P,Reynaldo Lopez_P,SP;RP,330.4,594.62
Anthony_Santander_H,Anthony Santander_H,OF;Util,330.8,140.7
Brandon_Pfaadt_P,Brandon Pfaadt_P,SP;RP,331.6,654.58
Chad_Patrick_P,Chad Patrick_P,SP;RP,332.4,548.66
Zebby_Matthews_P,Zebby Matthews_P,SP,333.0,433.88
Jacob_Lopez_P,Jacob Lopez_P,SP,335.5,507.0
Justin_Steele_P,Justin Steele_P,SP,335.8,415.16
Andres_Gimenez_H,Andres Gimenez_H,2B;SS,336.2,511.1
Edwin_Uceta_P,Edwin Uceta_P,RP,337.8,351.2
Troy_Melton_P,Troy Melton_P,SP;RP,338.0,221.4
Riley_O_Brien_P,Riley O'Brien_P,RP,338.2,374.64
Cristian_Javier_P,Cristian Javier_P,SP,339.0,510.9
Cade_Cavalli_P,Cade Cavalli_P,SP,340.0,531.2
Jake_Cronenworth_H,Jake Cronenworth_H,1B;2B;SS,340.4,573.5
Bryce_Eldridge_H,Bryce Eldridge_H,1B;Util,341.0,337.8
Ryan_McMahon_H,Ryan McMahon_H,3B,343.4,471.6
Javier_Baez_H,Javier Baez_H,2B;3B;SS;OF,344.6,291.3
Carlos_Narvaez_H,Carlos Narvaez_H,C,345.8,391.5
Zach_Eflin_P,Zach Eflin_P,SP,346.0,546.98
Clayton_Beeter_P,Clayton Beeter_P,RP,346.3,370.66
Owen_Caissie_H,Owen Caissie_H,OF,346.8,429.1
Robby_Snelling_P,Robby Snelling_P,SP,347.3,344.06
Marcelo_Mayer_H,Marcelo Mayer_H,2B;3B,348.8,427.6
Max_Meyer_P,Max Meyer_P,SP,349.0,509.64
Hurston_Waldrep_P,Hurston Waldrep_P,SP,349.3,220.6
Kyle_Finnegan_P,Kyle Finnegan_P,RP,350.5,304.78
Harrison_Bader_H,Harrison Bader_H,OF,350.7,468.5
