player_id,player_name,eligible_positions,adp,points
Shota_Imanaga_P,Shota Imanaga_P,SP,158.2,475.8
Drew_Rasmussen_P,Drew Rasmussen_P,SP,160.8,488.7
Dansby_Swanson_H,Dansby Swanson_H,SS,161.4,366.0
Kenley_Jansen_P,Kenley Jansen_P,RP,161.4,300.4
Ranger_Suarez_P,Ranger Suarez_P,SP,162.4,530.3
Jacob_Wilson_H,Jacob Wilson_H,SS,166.8,378.5
Kazuma_Okamoto_H,Kazuma Okamoto_H,1B;3B,167.4,347.5
Tatsuya_Imai_P,Tatsuya Imai_P,SP,167.4,452.8
Mike_Trout_H,Mike Trout_H,OF;Util,167.8,323.5
Chandler_Simpson_H,Chandler Simpson_H,OF,169.4,271.0
Alec_Burleson_H,Alec Burleson_H,1B;OF;Util,172.6,373.0
Matt_McLain_H,Matt McLain_H,2B,174.0,314.5
Tanner_Bibee_P,Tanner Bibee_P,SP,174.8,546.9
Jackson_Holliday_H,Jackson Holliday_H,2B;SS,175.4,311.0
Trey_Yesavage_P,Trey Yesavage_P,SP,175.8,384.5
Ivan_Herrera_H,Ivan Herrera_H,C;Util,176.0,352.0
Alejandro_Kirk_H,Alejandro Kirk_H,C,176.6,308.5
Jac_Caglianone_H,Jac Caglianone_H,1B;OF,177.8,291.0
Bryan_Reynolds_H,Bryan Reynolds_H,OF;Util,178.6,365.5
Spencer_Torkelson_H,Spencer Torkelson_H,1B,180.8,385.0
Willson_Contreras_H,Willson Contreras_H,1B,181.0,341.0
Colson_Montgomery_H,Colson Montgomery_H,3B;SS,181.2,313.0
Kris_Bubic_P,Kris Bubic_P,SP,183.2,451.1
Bryson_Stott_H,Bryson Stott_H,2B;SS,184.6,351.5
Cade_Horton_P,Cade Horton_P,SP,186.0,389.6
Munetaka_Murakami_H,Munetaka Murakami_H,1B;3B,187.0,344.5
Konnor_Griffin_H,Konnor Griffin_H,SS;OF,188.4,252.5
Jack_Flaherty_P,Jack Flaherty_P,SP,189.4,516.9
Edward_Cabrera_P,Edward Cabrera_P,SP,189.6,452.9
Sal_Stewart_H,Sal Stewart_H,1B;2B;3B,190.0,318.0
Dennis_Santana_P,Dennis Santana_P,RP,190.8,326.9
Carlos_Rodon_P,Carlos Rodon_P,SP,191.2,469.9
Daulton_Varsho_H,Daulton Varsho_H,OF,193.6,337.5
Abner_Uribe_P,Abner Uribe_P,RP,195.0,335.6
Christian_Walker_H,Christian Walker_H,1B,195.2,340.0
Isaac_Paredes_H,Isaac Paredes_H,1B;3B,196.8,325.5
Ryan_Walker_P,Ryan Walker_P,RP,196.8,349.6
Matthew_Boyd_P,Matthew Boyd_P,SP,197.2,499.0
Andrew_Abbott_P,Andrew Abbott_P,SP,198.0,500.7
Daylen_Lile_H,Daylen Lile_H,OF;Util,198.4,331.5
Jorge_Polanco_H,Jorge Polanco_H,2B;3B;Util,201.0,330.0
Shane_Baz_P,Shane Baz_P,SP,201.6,465.5
Jose_Caballero_H,Jose Caballero_H,2B;3B;SS;OF,202.4,197.0
Addison_Barger_H,Addison Barger_H,3B;OF,203.4,307.5
Marcus_Semien_H,Marcus Semien_H,2B,203.8,368.0
Zac_Gallen_P,Zac Gallen_P,SP,203.8,553.7
Gerrit_Cole_P,Gerrit Cole_P,SP,204.0,397.9
Robert_Suarez_P,Robert Suarez_P,RP,205.4,263.4
Shane_McClanahan_P,Shane McClanahan_P,SP,205.4,418.4
Aaron_Nola_P,Aaron Nola_P,SP,206.6,528.3
Sal_Frelick_H,Sal Frelick_H,OF,206.6,314.0
Gleyber_Torres_H,Gleyber Torres_H,2B,207.2,397.0
Jonathan_Aranda_H,Jonathan Aranda_H,1B,208.2,341.5
Wilyer_Abreu_H,Wilyer Abreu_H,OF,210.6,321.5
Heliot_Ramos_H,Heliot Ramos_H,OF,211.4,358.0
Brenton_Doyle_H,Brenton Doyle_H,OF,211.6,321.0
Gabriel_Moreno_H,Gabriel Moreno_H,C,215.8,272.5
Ezequiel_Tovar_H,Ezequiel Tovar_H,SS,218.0,364.0
Adolis_Garcia_H,Adolis Garcia_H,OF,218.6,341.0
JJ_Wetherholt_H,JJ Wetherholt_H,2B;3B;SS,222.2,294.5
Royce_Lewis_H,Royce Lewis_H,3B,222.4,309.5
Brendan_Donovan_H,Brendan Donovan_H,2B;3B;SS;OF,223.6,340.5
Griffin_Jax_P,Griffin Jax_P,SP;RP,223.8,322.3
Ramon_Laureano_H,Ramon Laureano_H,OF,225.6,307.0
Jordan_Westburg_H,Jordan Westburg_H,2B;3B,227.4,265.5
Samuel_Basallo_H,Samuel Basallo_H,C;Util,229.0,262.0
Alec_Bohm_H,Alec Bohm_H,1B;3B,229.6,347.5
Caleb_Durbin_H,Caleb Durbin_H,2B;3B,230.0,323.5
Carter_Jensen_H,Carter Jensen_H,C;Util,230.0,228.0
Merrill_Kelly_P,Merrill Kelly_P,SP,230.2,489.1
Kerry_Carpenter_H,Kerry Carpenter_H,OF;Util,231.4,312.5
Max_Muncy_H,Max Muncy_H,3B,232.0,290.0
Trent_Grisham_H,Trent Grisham_H,OF,232.4,330.5
Luis_Arraez_H,Luis Arraez_H,1B;2B;Util,232.6,374.0
J_T_Realmuto_H,J.T. Realmuto_H,C,233.2,266.5
Bryan_Abreu_P,Bryan Abreu_P,RP,236.4,296.0
Giancarlo_Stanton_H,Giancarlo Stanton_H,OF;Util,237.4,254.0
Carlos_Correa_H,Carlos Correa_H,3B;SS,238.0,327.5
